artist_uri,artist_name,duration_min,explicit,track_name,popularity
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,7.478666666666667,FALSE,You Can't Always Get What You Want,69
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3.3710999999999998,FALSE,"Paint It, Black",80
spotify:artist:4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,2.62155,FALSE,I'll Be Back,20
spotify:artist:4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,3.1906666666666665,FALSE,Does Anybody Really Know What Time It Is? (Live),14
spotify:artist:4zmxet3ZPdSmL3Xyv1Wegb,The Buckinghams,2.1086666666666667,FALSE,Kind of a Drag,43
spotify:artist:0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,2.367766666666667,FALSE,Count Me In,38
spotify:artist:0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,2.0904333333333334,FALSE,You're Sixteen,29
spotify:artist:0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,2.2066666666666666,FALSE,This Diamond Ring,45
spotify:artist:5BaHqGtf6UAZnHfqdPaTDA,Them,2.4855500000000004,FALSE,My Lonely Sad Eyes (feat. Van Morrison),46
spotify:artist:5BaHqGtf6UAZnHfqdPaTDA,Them,3.3877666666666664,FALSE,Don't Look Back (feat. Van Morrison) - Mono Version,42
spotify:artist:5BaHqGtf6UAZnHfqdPaTDA,Them,2.6133333333333337,FALSE,Gloria (feat. Van Morrison) - Stereo Version,64
spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,3.6471,FALSE,Rock Me,39
spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,3.2871,FALSE,"Sookie, Sookie",37
spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,3.548216666666667,FALSE,Born To Be Wild - Single Version,69
